SVM-S:__F1_SCORE: 0.648,	AUC: 0.714,	G_MEAN: 0.689,	ACCURACY: 0.713,	
SVM-S:__F1_SCORE: 0.644,	AUC: 0.696,	G_MEAN: 0.68,	ACCURACY: 0.696,	
SVM-S:__F1_SCORE: 0.644,	AUC: 0.696,	G_MEAN: 0.68,	ACCURACY: 0.696,	
SVM-S:__F1_SCORE: 0.635,	AUC: 0.672,	G_MEAN: 0.664,	ACCURACY: 0.672,	
SVM-S:__F1_SCORE: 0.635,	AUC: 0.672,	G_MEAN: 0.664,	ACCURACY: 0.672,	
SVM:__F1_SCORE: 0.669,	AUC: 0.537,	G_MEAN: 0.359,	ACCURACY: 0.537,	
NB:__F1_SCORE: 0.081,	AUC: 0.508,	G_MEAN: 0.206,	ACCURACY: 0.508,	
MLP:__F1_SCORE: 0.029,	AUC: 0.502,	G_MEAN: 0.122,	ACCURACY: 0.502,	
MLP:__F1_SCORE: 0.021,	AUC: 0.502,	G_MEAN: 0.103,	ACCURACY: 0.502,	
MLP:__F1_SCORE: 0.024,	AUC: 0.502,	G_MEAN: 0.11,	ACCURACY: 0.502,	
MLP:__F1_SCORE: 0.37,	AUC: 0.545,	G_MEAN: 0.469,	ACCURACY: 0.545,	
MLP:__F1_SCORE: 0.585,	AUC: 0.562,	G_MEAN: 0.559,	ACCURACY: 0.562,	
MLP:__F1_SCORE: 0.527,	AUC: 0.555,	G_MEAN: 0.552,	ACCURACY: 0.555,	
MLP:__F1_SCORE: 0.533,	AUC: 0.555,	G_MEAN: 0.553,	ACCURACY: 0.555,	
MLP:__F1_SCORE: 0.529,	AUC: 0.556,	G_MEAN: 0.553,	ACCURACY: 0.556,	
MLP:__F1_SCORE: 0.586,	AUC: 0.562,	G_MEAN: 0.559,	ACCURACY: 0.562,	
MLP:__F1_SCORE: 0.69,	AUC: 0.726,	G_MEAN: 0.717,	ACCURACY: 0.726,	
SVM:__F1_SCORE: 0.713,	AUC: 0.667,	G_MEAN: 0.647,	ACCURACY: 0.667,	
NB:__F1_SCORE: 0.796,	AUC: 0.771,	G_MEAN: 0.76,	ACCURACY: 0.771,	
SVM:__F1_SCORE: 0.685,	AUC: 0.705,	G_MEAN: 0.702,	ACCURACY: 0.705,	
SVM:__F1_SCORE: 0.816,	AUC: 0.798,	G_MEAN: 0.792,	ACCURACY: 0.798,	
SVM:__F1_SCORE: 0.816,	AUC: 0.798,	G_MEAN: 0.792,	ACCURACY: 0.798,	
NB:__F1_SCORE: 0.796,	AUC: 0.771,	G_MEAN: 0.76,	ACCURACY: 0.771,	
MLP:__F1_SCORE: 0.575,	AUC: 0.676,	G_MEAN: 0.633,	ACCURACY: 0.676,	
MLP:__F1_SCORE: 0.816,	AUC: 0.803,	G_MEAN: 0.799,	ACCURACY: 0.803,	
MLP:__F1_SCORE: 0.818,	AUC: 0.804,	G_MEAN: 0.8,	ACCURACY: 0.804,	
MLP:__F1_SCORE: 0.817,	AUC: 0.803,	G_MEAN: 0.799,	ACCURACY: 0.803,	
MLP:__F1_SCORE: 0.818,	AUC: 0.803,	G_MEAN: 0.799,	ACCURACY: 0.803,	
MLP:__F1_SCORE: 0.819,	AUC: 0.804,	G_MEAN: 0.8,	ACCURACY: 0.804,	
SVM-S:__F1_SCORE: 0.906,	AUC: 0.901,	G_MEAN: 0.9,	ACCURACY: 0.901,	
SVM-S:__F1_SCORE: 0.909,	AUC: 0.904,	G_MEAN: 0.902,	ACCURACY: 0.904,	
NB-S:__F1_SCORE: 0.823,	AUC: 0.784,	G_MEAN: 0.754,	ACCURACY: 0.784,	
RNN:__F1_SCORE: 0.674,	AUC: 0.541,	G_MEAN: 0.359,	ACCURACY: 0.541,	
RNN:__F1_SCORE: 0.885,	AUC: 0.883,	G_MEAN: 0.882,	ACCURACY: 0.883,	
RNN:__F1_SCORE: 0.894,	AUC: 0.887,	G_MEAN: 0.884,	ACCURACY: 0.887,	
RNN:__F1_SCORE: 0.864,	AUC: 0.857,	G_MEAN: 0.855,	ACCURACY: 0.857,	
RNN:__F1_SCORE: 0.87,	AUC: 0.861,	G_MEAN: 0.859,	ACCURACY: 0.861,	
RNN:__F1_SCORE: 0.855,	AUC: 0.849,	G_MEAN: 0.848,	ACCURACY: 0.849,	
RNN:__F1_SCORE: 0.875,	AUC: 0.866,	G_MEAN: 0.863,	ACCURACY: 0.866,	
RNN:__F1_SCORE: 0.845,	AUC: 0.844,	G_MEAN: 0.844,	ACCURACY: 0.844,	
RNN:__F1_SCORE: 0.848,	AUC: 0.844,	G_MEAN: 0.844,	ACCURACY: 0.844,	
RNN:__F1_SCORE: 0.846,	AUC: 0.842,	G_MEAN: 0.841,	ACCURACY: 0.842,	
LSTM:__F1_SCORE: 0.878,	AUC: 0.875,	G_MEAN: 0.875,	ACCURACY: 0.875,	
RNN:__F1_SCORE: 0.813,	AUC: 0.821,	G_MEAN: 0.82,	ACCURACY: 0.821,	
RNN:__F1_SCORE: 0.889,	AUC: 0.88,	G_MEAN: 0.877,	ACCURACY: 0.88,	
RNN:__F1_SCORE: 0.857,	AUC: 0.855,	G_MEAN: 0.854,	ACCURACY: 0.855,	
LSTM:__F1_SCORE: 0.852,	AUC: 0.85,	G_MEAN: 0.85,	ACCURACY: 0.85,	
LSTM:__F1_SCORE: 0.832,	AUC: 0.832,	G_MEAN: 0.832,	ACCURACY: 0.832,	
LSTM:__F1_SCORE: 0.838,	AUC: 0.835,	G_MEAN: 0.835,	ACCURACY: 0.835,	
SVM-S:__F1_SCORE: 0.909,	AUC: 0.904,	G_MEAN: 0.902,	ACCURACY: 0.904,	
SVM-S:__F1_SCORE: 0.916,	AUC: 0.91,	G_MEAN: 0.907,	ACCURACY: 0.91,	
