SVM-S:__F1_SCORE: 0.962,	AUC: 0.961,	G_MEAN: 0.961,	ACCURACY: 0.961,	
SVM-S:__F1_SCORE: 0.674,	AUC: 0.754,	G_MEAN: 0.713,	ACCURACY: 0.75,	
MLP:__F1_SCORE: 0.895,	AUC: 0.884,	G_MEAN: 0.879,	ACCURACY: 0.884,	
LSTM:__F1_SCORE: 0.492,	AUC: 0.663,	G_MEAN: 0.571,	ACCURACY: 0.658,	

SVM:__F1_SCORE: 0.906,	AUC: 0.898,	G_MEAN: 0.894,	ACCURACY: 0.898,	
SVM:__F1_SCORE: 0.87,	AUC: 0.854,	G_MEAN: 0.844,	ACCURACY: 0.854,	
SVM:__F1_SCORE: 0.914,	AUC: 0.908,	G_MEAN: 0.905,	ACCURACY: 0.908,	
SVM:__F1_SCORE: 0.914,	AUC: 0.908,	G_MEAN: 0.905,	ACCURACY: 0.908,	
NB:__F1_SCORE: 0.712,	AUC: 0.775,	G_MEAN: 0.743,	ACCURACY: 0.775,	
MLP:__F1_SCORE: 0.648,	AUC: 0.739,	G_MEAN: 0.693,	ACCURACY: 0.739,	
MLP:__F1_SCORE: 0.641,	AUC: 0.734,	G_MEAN: 0.687,	ACCURACY: 0.734,	
MLP:__F1_SCORE: 0.875,	AUC: 0.86,	G_MEAN: 0.851,	ACCURACY: 0.86,	
MLP:__F1_SCORE: 0.956,	AUC: 0.957,	G_MEAN: 0.956,	ACCURACY: 0.957,	
MLP:__F1_SCORE: 0.951,	AUC: 0.952,	G_MEAN: 0.952,	ACCURACY: 0.952,	
MLP:__F1_SCORE: 0.959,	AUC: 0.96,	G_MEAN: 0.96,	ACCURACY: 0.96,	
MLP:__F1_SCORE: 0.953,	AUC: 0.954,	G_MEAN: 0.953,	ACCURACY: 0.954,	
MLP:__F1_SCORE: 0.953,	AUC: 0.954,	G_MEAN: 0.953,	ACCURACY: 0.954,	
RNN:__F1_SCORE: 0.93,	AUC: 0.926,	G_MEAN: 0.925,	ACCURACY: 0.926,	
RNN:__F1_SCORE: 0.93,	AUC: 0.926,	G_MEAN: 0.925,	ACCURACY: 0.926,	
RNN:__F1_SCORE: 0.909,	AUC: 0.902,	G_MEAN: 0.899,	ACCURACY: 0.902,	
RNN:__F1_SCORE: 0.921,	AUC: 0.915,	G_MEAN: 0.914,	ACCURACY: 0.916,	
MLP:__F1_SCORE: 0.925,	AUC: 0.923,	G_MEAN: 0.923,	ACCURACY: 0.923,	
MLP:__F1_SCORE: 0.925,	AUC: 0.923,	G_MEAN: 0.923,	ACCURACY: 0.923,	
MLP:__F1_SCORE: 0.945,	AUC: 0.945,	G_MEAN: 0.945,	ACCURACY: 0.945,	
MLP:__F1_SCORE: 0.953,	AUC: 0.954,	G_MEAN: 0.953,	ACCURACY: 0.954,	
RNN:__F1_SCORE: 0.96,	AUC: 0.96,	G_MEAN: 0.96,	ACCURACY: 0.96,	
SVM:__F1_SCORE: 0.935,	AUC: 0.935,	G_MEAN: 0.935,	ACCURACY: 0.935,	
NB:__F1_SCORE: 0.712,	AUC: 0.775,	G_MEAN: 0.743,	ACCURACY: 0.775,	
MLP:__F1_SCORE: 0.948,	AUC: 0.949,	G_MEAN: 0.949,	ACCURACY: 0.949,	
RNN:__F1_SCORE: 0.921,	AUC: 0.917,	G_MEAN: 0.915,	ACCURACY: 0.917,	
LSTM:__F1_SCORE: 0.885,	AUC: 0.872,	G_MEAN: 0.866,	ACCURACY: 0.873,	
SVM:__F1_SCORE: 0.942,	AUC: 0.942,	G_MEAN: 0.942,	ACCURACY: 0.942,	
NB:__F1_SCORE: 0.923,	AUC: 0.919,	G_MEAN: 0.918,	ACCURACY: 0.919,	
MLP:__F1_SCORE: 0.94,	AUC: 0.941,	G_MEAN: 0.941,	ACCURACY: 0.941,	
SVM:__F1_SCORE: 0.935,	AUC: 0.935,	G_MEAN: 0.935,	ACCURACY: 0.935,	
NB:__F1_SCORE: 0.712,	AUC: 0.775,	G_MEAN: 0.743,	ACCURACY: 0.775,	
MLP:__F1_SCORE: 0.941,	AUC: 0.944,	G_MEAN: 0.943,	ACCURACY: 0.944,	
RNN:__F1_SCORE: 0.914,	AUC: 0.921,	G_MEAN: 0.917,	ACCURACY: 0.92,	
RNN:__F1_SCORE: 0.923,	AUC: 0.919,	G_MEAN: 0.917,	ACCURACY: 0.919,	
LSTM:__F1_SCORE: 0.76,	AUC: 0.807,	G_MEAN: 0.783,	ACCURACY: 0.806,	
LSTM:__F1_SCORE: 0.927,	AUC: 0.923,	G_MEAN: 0.922,	ACCURACY: 0.924,	
SVM:__F1_SCORE: 0.935,	AUC: 0.935,	G_MEAN: 0.935,	ACCURACY: 0.935,	
NB:__F1_SCORE: 0.712,	AUC: 0.775,	G_MEAN: 0.743,	ACCURACY: 0.775,	
MLP:__F1_SCORE: 0.941,	AUC: 0.944,	G_MEAN: 0.943,	ACCURACY: 0.944,	
RNN:__F1_SCORE: 0.922,	AUC: 0.917,	G_MEAN: 0.915,	ACCURACY: 0.917,	
LSTM:__F1_SCORE: 0.922,	AUC: 0.918,	G_MEAN: 0.916,	ACCURACY: 0.918,	
